|nombre_fichero|origen|resolucion|url|programas
39|boja/RESOL__DE_7_DE_MARZO_DE_2011.html|RESOL. DE 7 DE MARZO DE 2011 , de la Dirección General de la Producción Agrícola y Ganadera, por la que se convoca para el aNo 2011 la renovación anual del compromiso quinquenal de las ayudas reguladase|RESOL. DE 7 DE MARZO DE 2011|http://www.juntadeandalucia.es/boja/2011/58/2|
40|boja/ORDEN_DE_22_DE_JUNIO_DE_2010.html|ORDEN DE 22 DE JUNIO DE 2010 , por la que se modifica la Orden de 8 de mayo de 2008, por la que se establecen normas para la aplicación del Real Decreto 1724/2007, de 21 de diciembre, y se procede a suc|ORDEN DE 22 DE JUNIO DE 2010|http://www.juntadeandalucia.es/boja/2010/130/2|
41|boja/ORDEN_DE_30_DE_ABRIL_DE_2010.html|ORDEN DE 30 DE ABRIL DE 2010 , por la que se modifica la Orden de 15 de abril de 2008, por la que se regulan¬|ORDEN DE 30 DE ABRIL DE 2010|http://www.juntadeandalucia.es/boja/2010/105/2|71F
42||SAS-FEAFES SUB.NOMINATIVA A FEAFES ANDALUCIA PARA PROMOVER LA RECUPERACION DE PERSONAS CON ENFERMEDAD MENTAL|||
43|boja/ORDEN_DE_8_DE_MARZO_DE_2007.html|ORDEN DE 8 DE MARZO DE 2007 Se establecen las bases reguladoras de los procedimientos para la concesión de subvenciones en materia de organización de acciones formativas y para la¬|ORDEN DE 8 DE MARZO DE 2007|http://www.juntadeandalucia.es/boja/2007/73/2|42F 54C 42E
44|boja/ORDEN_DE_8_DE_JULIO_DE_2011.html|ORDEN DE 8 DE JULIO DE 2011 , por la que se establecen las bases reguladoras para la concesión de subvenciones a la primera instalación de jóvenes agricultoras y agricultores y modernización de explota|ORDEN DE 8 DE JULIO DE 2011|http://www.juntadeandalucia.es/boja/2011/139/1|71F
45|boja/ORDEN_DE_29_D_JUNIO_D_2009.html|ORDEN DE 29 D JUNIO D 2009 (II , por la que establecen las bases reguladoras de un programa de apoyo a la innovación y al desarrollo de la economía social, y se efectúa su convocatoria para los ejercicios|ORDEN DE 29 D JUNIO D 2009|http://www.juntadeandalucia.es/boja/2009/130/1|71F
46|boja/ORDEN_DE_15_DE_ABRIL_DE_2011.html|ORDEN DE 15 DE ABRIL DE 2011 , por la que se establecen las bases reguladoras para la concesión de¬|ORDEN DE 15 DE ABRIL DE 2011|http://www.juntadeandalucia.es/boja/2011/95/1|
47|boja/ORDEN_DE_4_DE_MAYO_DE_2010.html|ORDEN DE 4 DE MAYO DE 2010 , por la que se establecen las bases reguladoras para la concesión de subvenciones dirigidas a la modernización de explotaciones agrarias no adscritas a un plan empresarial,|ORDEN DE 4 DE MAYO DE 2010|http://www.juntadeandalucia.es/boja/2010/91/2|
48|boja/ORDEN_DE_29_DE_OCTUBRE_D_2010.html|ORDEN DE 29 DE OCTUBRE D 2010 , por la que se establecen las bases reguladoras para la concesión de subvenciones a las entidades prestadoras de los servicios de asesoramiento a las explotaciones agrarias|ORDEN DE 29 DE OCTUBRE D 2010|http://www.juntadeandalucia.es/boja/2010/219/29|
49|boja/ORDEN_DE_9_DE_JUNIO_D_2009.html|ORDEN DE 9 DE JUNIO D 2009 EMP estar animal en explotaciones ganaderas, y se efectúa su convocatoria para 2009, en el marco del Programa de Desarrollo Rural de Andalucía 2007-2013.|ORDEN DE 9 DE JUNIO D 2009|http://www.juntadeandalucia.es/boja/2009/119/40|
50|boja/ORDEN_DE_11_DE_MARZO_DE_2002.html|ORDEN DE 11 DE MARZO DE 2002 particular por el personal de la Consejeria adscrito a puestos de trabajo docentes, a excepcion del universitario.|ORDEN DE 11 DE MARZO DE 2002|http://www.juntadeandalucia.es/boja/2002/59/2|
51||SUBV. NOM. PARQUE CIENCIAS SUBVENCION NOMINATIVA PARQUE DE LAS CIENCIAS DE GRANADA, ANO 2014|||44B
52||CONVENIO SAS-PAUSAME CONCEDER SUBVENCION A LA FEDERACION PAUSAME PARA PROMOVER LA RECUPERACIN DE LAS PERSONAS CON SALUD MENTAL|||
53|boja/ORDEN_DE_15_DE_FEBRERO_D_2008.html|ORDEN DE 15 DE FEBRERO D 2008 ,por la que se regula el régimen de calificación de explotaciones agrarias como prioritarias, se establecen las bases reguladoras para la concesión de subvenciones para la m|ORDEN DE 15 DE FEBRERO D 2008|http://www.juntadeandalucia.es/boja/2008/187/2|71C
54|boja/RESOL__DE_22_DE_MARZO_DE_2010.html|RESOL. DE 22 DE MARZO DE 2010 , de la Dirección General de Regadíos y Estructuras Agrarias, por la que se convocan para el 2010, las líneas de ayudas que se citan previstas en la Orden de 31 de julio de2|RESOL. DE 22 DE MARZO DE 2010|http://www.juntadeandalucia.es/boja/2010/60/2|71C
55|boja/RESOL__DE_18_DE_ABRIL_DE_2013.html|RESOL. DE 18 DE ABRIL DE 2013 , de la DG Participación y Equidad, por la que se efectúa la convocatoria pública para la concesión de subvenciones a entidades públicas,¬|RESOL. DE 18 DE ABRIL DE 2013|http://www.juntadeandalucia.es/boja/2013/88/4|
56|boja/ORDEN_D_12_D_SEPTIEMBRE_D_2008.html|ORDEN D 12 D SEPTIEMBRE D 2008 ,por la que se establecen las bases reguladoras para la concesión de subvenciones para fomento del uso de la bicicleta mediante la construcción de vías ciclistas como estrat|ORDEN D 12 D SEPTIEMBRE D 2008|http://www.juntadeandalucia.es/boja/2008/197/2|
57|boja/RESOLUCION_25_NOVIEMBRE_2013.html|RESOLUCION 25 NOVIEMBRE 2013 Resolución de 25 de noviembre de 2013, de la Dirección General de la Producción Agrícola y Ganadera, por la que se convocan, para el aNo 2014, las ayudas destinadas al fomen|RESOLUCION 25 NOVIEMBRE 2013|http://www.juntadeandalucia.es/boja/2013/231/|
58|boja/RESOL_DE_14_DE_ENERO_DE_2013.html|RESOL DE 14 DE ENERO DE 2013 , de la Dirección General de la Producción Agrícola y Ganadera, por la que se convocan para el aNo 2013 las ayudas previstas en la Orden de 2 de Diciembre de 2011, por la qu|RESOL DE 14 DE ENERO DE 2013|http://www.juntadeandalucia.es/boja/2013/14/3.html|
59|boja/RESOL__DE_20_JUNIO_2013.html|RESOL. DE 20 JUNIO 2013 ASESOR , de la DG de Calidad, Industrias Agroalimentarias y Producción Ecológica, por la que se convocan para el aNo 2013, las ayudas previstas en la Orden que se cita, para la imp|RESOL. DE 20 JUNIO 2013|http://www.juntadeandalucia.es/boja/2013/126/4|
