CIF,COD_ENTE1,COD_ENTE2,COD_ENTE3,COD_ENTE4,COD_ENTE5,COD_ENTE6,Entidad Local,Cif dependiente,COD_ENTE1_DEP,COD_ENTE2_DEP,COD_ENTE3_DEP,COD_ENTE4_DEP,COD_ENTE5_DEP,COD_ENTE6_DEP,DEPENDIENTE,SECTORIZACION,     Fecha sectorización,Participación mayoritaria
P3101300F,14,31,013,A,A,000,Améscoa Baja                                                          ,G31590219,14,00,001,N,N,000,Asoc. Tierra Estella Desarrollo Rural TEDER                           ,,,
P3101300F,14,31,013,A,A,000,Améscoa Baja                                                          ,G31535321,14,00,007,C,C,000,C. Turístico de Tierra Estella                                        , ,,
P3101400D,14,31,014,A,A,000,Ancín/Antzin                                                          ,G31590219,14,00,001,N,N,000,Asoc. Tierra Estella Desarrollo Rural TEDER                           ,,,
P3101400D,14,31,014,A,A,000,Ancín/Antzin                                                          ,G31535321,14,00,007,C,C,000,C. Turístico de Tierra Estella                                        , ,,
P3101500A,14,31,015,A,A,000,Andosilla                                                             ,G31590219,14,00,001,N,N,000,Asoc. Tierra Estella Desarrollo Rural TEDER                           ,,,
P3101500A,14,31,015,A,A,000,Andosilla                                                             ,G31513260,14,00,004,C,C,000,C. Estrategias Desar. Ribera de Navarra (EDER)                        , ,,
P3101500A,14,31,015,A,A,000,Andosilla                                                             ,G31535321,14,00,007,C,C,000,C. Turístico de Tierra Estella                                        , ,,
P3101700G,14,31,017,A,A,000,Anue                                                                  ,G31372063,14,00,003,N,N,000,Asoc. Cederna-Garalur                                                 , ,,
P3101900C,14,31,019,A,A,000,Aoiz/Agoitz                                                           ,G31372063,14,00,003,N,N,000,Asoc. Cederna-Garalur                                                 , ,,
P3101900C,14,31,019,A,A,000,Aoiz/Agoitz                                                           ,G31954977,14,31,019,A,O,001,P. Escuela de Música                                                  ,AAPP,30/11/2007,
P3102000A,14,31,020,A,A,000,Araitz                                                                ,V31498371,14,00,003,C,C,000,C. Turístico del Plazaola                                             , ,,
P3102000A,14,31,020,A,A,000,Araitz                                                                ,G31372063,14,00,003,N,N,000,Asoc. Cederna-Garalur                                                 , ,,
P3102100I,14,31,021,A,A,000,Aranarache/Aranaratxe                                                 ,G31590219,14,00,001,N,N,000,Asoc. Tierra Estella Desarrollo Rural TEDER                           ,,,
P3102100I,14,31,021,A,A,000,Aranarache/Aranaratxe                                                 ,G31535321,14,00,007,C,C,000,C. Turístico de Tierra Estella                                        , ,,
P3102200G,14,31,022,A,A,000,Arantza                                                               ,V31425192,14,00,002,C,C,000,C. Turístico de Bertiz                                                , ,,
